arr_id,prob
100.0,0
5.0,97.50
69.0,70.62
89.0,0
115.0,43.06
28.0,83.85
33.0,88.44
9.0,96.41
119.0,100.00
92.0,0
3.0,100.00
54.0,98.79
10.0,92.69
100.0,0
42.0,98.82
110.0,45.10
110.0,37.70
83.0,0
54.0,100.00
42.0,100.00
54.0,100.00
97.0,0
77.0,0
60.0,70.06
110.0,45.10
10.0,96.94
2.0,97.74
4.0,100.00
123.0,89.72
13.0,95.61
5.0,97.50
10.0,96.41
73.0,83.56
19.0,100.00
69.0,70.62
108.0,28.66
3.0,100.00
16.0,87.52
16.0,88.20
6.0,100.00
25.0,79.42
73.0,75.68
1.0,99.35
20.0,100.00
82.0,0
17.0,79.80
9.0,96.41
1.0,97.91
73.0,83.56
36.0,73.65
72.0,77.58
9.0,96.94
84.0,0
38.0,78.83
78.0,0.16
75.0,0
9.0,96.41
3.0,100.00
9.0,96.41
25.0,81.83
8.0,100.00
2.0,97.74
120.0,85.79
30.0,92.51
69.0,71.82
3.0,100.00
3.0,100.00
80.0,0
10.0,84.90
100.0,0
96.0,0
4.0,100.00
43.0,90.68
47.0,76.05
66.0,57.28
72.0,87.20
60.0,67.39
108.0,28.66
36.0,78.18
42.0,98.82
6.0,100.00
38.0,81.95
4.0,100.00
52.0,94.24
1.0,100.00
8.0,100.00
89.0,0
4.0,100.00
83.0,0
36.0,65.96
12.0,90.02
8.0,96.94
116.0,58.74
107.0,41.89
26.0,92.75
49.0,63.85
4.0,100.00
97.0,0
119.0,100.00
25.0,79.42
54.0,98.79
70.0,58.37
2.0,97.74
88.0,0
68.0,52.34
122.0,80.91
65.0,50.35
101.0,0
7.0,96.94
7.0,96.94
7.0,96.94
1.0,97.50
70.0,34.76
121.0,53.48
20.0,100.00
41.0,67.71
44.0,93.03
7.0,100.00
1.0,99.35
5.0,100.00
5.0,100.00
7.0,100.00
108.0,28.66
56.0,86.90
116.0,51.66
70.0,77.21
96.0,0
98.0,0
6.0,98.91
47.0,66.30
53.0,90.42
7.0,96.94
73.0,83.56
2.0,97.74
38.0,81.04
2.0,97.74
118.0,43.46
78.0,7.85
24.0,74.13
107.0,38.21
2.0,97.74
1.0,99.35
12.0,86.48
26.0,92.75
13.0,95.61
7.0,96.94
87.0,0
87.0,0
97.0,0
2.0,100.00
119.0,97.50
9.0,96.94
2.0,100.00
108.0,41.28
9.0,96.41
59.0,83.80
43.0,91.97
57.0,88.81
36.0,85.30
2.0,100.00
12.0,86.79
9.0,96.41
116.0,66.19
51.0,94.24
5.0,97.50
73.0,83.56
7.0,100.00
78.0,2.99
25.0,79.42
2.0,97.74
57.0,78.98
9.0,96.94
19.0,99.24
10.0,93.28
25.0,79.42
4.0,100.00
8.0,100.00
8.0,96.94
2.0,100.00
25.0,81.83
64.0,46.70
122.0,69.07
121.0,51.46
22.0,79.17
91.0,0
80.0,0
54.0,100.00
9.0,96.94
51.0,98.79
2.0,100.00
47.0,81.67
96.0,0
53.0,100.00
56.0,85.53
27.0,89.54
40.0,89.17
12.0,86.79
50.0,46.71
8.0,100.00
106.0,0
3.0,98.91
107.0,38.21
34.0,88.41
8.0,96.94
44.0,89.40
57.0,78.98
7.0,100.00
105.0,0
85.0,0
30.0,92.51
24.0,81.21
83.0,0
2.0,100.00
3.0,100.00
56.0,83.30
70.0,85.41
108.0,12.30
107.0,51.41
3.0,100.00
4.0,100.00
5.0,97.50
119.0,93.86
4.0,100.00
114.0,30.16
19.0,100.00
6.0,100.00
71.0,100.00
49.0,64.21
62.0,88.97
35.0,85.87
3.0,100.00
2.0,97.74
73.0,83.56
77.0,0
92.0,0
74.0,53.39
81.0,0
26.0,92.75
96.0,0
40.0,89.59
120.0,82.88
65.0,50.35
10.0,94.09
73.0,83.56
25.0,79.42
4.0,100.00
104.0,0
118.0,43.46
109.0,40.87
101.0,0
3.0,100.00
2.0,97.74
2.0,97.74
1.0,99.35
119.0,93.86
106.0,0
25.0,79.42
120.0,80.12
