arr_id,prob
89.0,0
115.0,14.59
5.0,96.25
69.0,55.93
100.0,0
9.0,94.62
33.0,82.65
28.0,75.78
119.0,100.00
92.0,0
3.0,100.00
54.0,98.19
100.0,0
42.0,98.23
10.0,89.04
110.0,6.55
110.0,17.65
60.0,55.08
42.0,100.00
54.0,100.00
83.0,0
54.0,100.00
97.0,0
77.0,0
110.0,17.65
10.0,95.41
4.0,100.00
2.0,96.61
13.0,93.42
123.0,84.58
5.0,96.25
10.0,94.62
73.0,75.35
19.0,100.00
69.0,55.93
108.0,0
16.0,81.29
82.0,0
6.0,100.00
3.0,100.00
73.0,63.52
25.0,69.12
16.0,82.30
20.0,100.00
1.0,99.02
17.0,69.70
1.0,96.86
9.0,95.41
9.0,94.62
73.0,75.35
72.0,66.37
9.0,94.62
75.0,0
38.0,68.24
36.0,60.47
78.0,0
84.0,0
9.0,94.62
3.0,100.00
25.0,72.75
2.0,96.61
8.0,100.00
120.0,78.69
30.0,88.76
80.0,0
3.0,100.00
69.0,57.73
3.0,100.00
42.0,98.23
72.0,80.80
4.0,100.00
47.0,64.08
96.0,0
43.0,86.01
36.0,67.26
100.0,0
108.0,0
10.0,77.35
60.0,51.08
66.0,35.93
6.0,100.00
4.0,100.00
1.0,100.00
52.0,91.36
38.0,72.92
4.0,100.00
36.0,48.93
8.0,95.41
89.0,0
8.0,100.00
12.0,85.03
83.0,0
116.0,38.12
107.0,12.83
70.0,37.55
4.0,100.00
49.0,45.77
25.0,69.12
2.0,96.61
119.0,100.00
97.0,0
122.0,71.37
26.0,89.13
54.0,98.19
88.0,0
68.0,28.50
65.0,25.52
101.0,0
70.0,2.15
7.0,95.41
7.0,95.41
7.0,95.41
41.0,51.56
121.0,30.22
20.0,100.00
1.0,96.25
44.0,89.55
7.0,100.00
7.0,100.00
1.0,99.02
5.0,100.00
5.0,100.00
70.0,65.82
116.0,27.49
108.0,0
96.0,0
6.0,98.37
2.0,96.61
73.0,75.35
2.0,96.61
98.0,0
7.0,95.41
47.0,49.44
78.0,0
53.0,85.63
38.0,71.55
24.0,61.20
12.0,79.71
1.0,99.02
13.0,93.42
7.0,95.41
2.0,96.61
87.0,0
107.0,7.32
26.0,89.13
87.0,0
9.0,95.41
2.0,100.00
9.0,94.62
43.0,87.96
2.0,100.00
119.0,96.25
97.0,0
59.0,75.70
57.0,83.22
36.0,77.94
108.0,11.92
9.0,94.62
2.0,100.00
5.0,96.25
12.0,80.19
116.0,49.29
7.0,100.00
51.0,91.36
73.0,75.35
78.0,0
19.0,98.85
25.0,69.12
25.0,69.12
57.0,68.46
9.0,95.41
2.0,96.61
10.0,89.93
4.0,100.00
25.0,72.75
22.0,68.75
8.0,100.00
8.0,95.41
2.0,100.00
80.0,0
122.0,53.60
64.0,20.05
91.0,0
121.0,27.19
53.0,100.00
47.0,72.51
9.0,95.41
54.0,100.00
2.0,100.00
96.0,0
51.0,98.19
56.0,78.30
27.0,84.31
40.0,83.75
12.0,80.19
8.0,100.00
44.0,84.09
7.0,100.00
50.0,20.06
107.0,7.32
8.0,95.41
85.0,0
57.0,68.46
34.0,82.62
30.0,88.76
106.0,0
105.0,0
24.0,71.81
2.0,100.00
83.0,0
3.0,100.00
56.0,74.96
70.0,78.11
107.0,27.12
108.0,0
5.0,96.25
3.0,100.00
119.0,90.79
4.0,100.00
4.0,100.00
114.0,0
49.0,46.32
71.0,100.00
6.0,100.00
19.0,100.00
62.0,83.46
35.0,78.81
73.0,75.35
3.0,100.00
92.0,0
2.0,96.61
77.0,0
74.0,30.08
81.0,0
26.0,89.13
101.0,0
73.0,75.35
40.0,84.39
10.0,91.14
65.0,25.52
4.0,100.00
120.0,74.32
25.0,69.12
104.0,0
96.0,0
118.0,15.19
109.0,11.31
3.0,100.00
1.0,99.02
2.0,96.61
2.0,96.61
25.0,69.12
20.0,100.00
71.0,100.00
120.0,70.18
119.0,90.79
106.0,0
55.0,91.57
1.0,99.02
6.0,100.00
37.0,60.47
19.0,98.85
7.0,95.41
42.0,100.00
26.0,89.13
25.0,69.12
71.0,30.08
115.0,24.60
26.0,89.13
14.0,89.01
21.0,76.93
73.0,75.35
63.0,63.08
57.0,77.59
104.0,0
4.0,100.00
20.0,100.00
73.0,75.35
15.0,91.39
25.0,69.12
121.0,53.63
107.0,24.45
31.0,79.70
121.0,52.44
92.0,0
1.0,99.02
2.0,96.61
84.0,0
2.0,96.61
10.0,91.52
2.0,100.00
25.0,69.12
122.0,53.60
98.0,0
101.0,0
44.0,71.89
76.0,0
3.0,100.00
54.0,100.00
3.0,100.00
42.0,100.00
106.0,0
69.0,64.98
101.0,0
69.0,61.64
3.0,100.00
9.0,95.41
107.0,7.32
79.0,0
120.0,74.32
100.0,0
8.0,100.00
1.0,99.02
119.0,78.65
56.0,78.30
78.0,0
106.0,0
4.0,100.00
5.0,98.37
70.0,28.99
5.0,96.25
2.0,99.02
12.0,80.19
83.0,0
33.0,82.17
108.0,0
71.0,83.59
25.0,72.75
24.0,72.75
10.0,91.14
4.0,100.00
1.0,99.02
15.0,86.38
16.0,82.30
19.0,100.00
3.0,100.00
122.0,41.05
9.0,94.62
1.0,100.00
57.0,77.65
68.0,31.67
76.0,0
119.0,100.00
73.0,75.35
108.0,0
4.0,100.00
1.0,99.02
20.0,100.00
39.0,77.94
68.0,60.01
65.0,35.93
5.0,100.00
20.0,100.00
46.0,72.76
76.0,0
25.0,69.12
54.0,100.00
47.0,64.08
100.0,0
18.0,68.64
25.0,72.75
101.0,0
7.0,100.00
92.0,0
122.0,71.86
105.0,0
86.0,0
80.0,0
